CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,325,1,77183.6,1,1,4,114,At Risk
12347.0,1,182,4310.0,4,4,4,444,High Value
12348.0,74,31,1797.24,2,2,4,224,Regular
12349.0,18,73,1757.55,3,3,4,334,Regular
12350.0,309,17,334.4,1,1,2,112,At Risk
12352.0,35,85,2506.04,3,3,4,334,Regular
12353.0,203,4,89.0,1,1,1,111,At Risk
12354.0,231,58,1079.4,1,3,3,133,At Risk
12355.0,213,13,459.4,1,1,2,112,At Risk
12356.0,22,59,2811.43,3,3,4,334,Regular
12357.0,32,131,6207.67,3,4,4,344,Loyal Customers
12358.0,1,19,1168.06,4,2,3,423,Recent Customers
12359.0,57,245,6310.03,2,4,4,244,Loyal Customers
12360.0,51,129,2662.06,2,4,4,244,Loyal Customers
12361.0,286,10,189.9,1,1,1,111,At Risk
12362.0,2,266,5226.23,4,4,4,444,High Value
12363.0,109,23,552.0,2,2,2,222,Regular
12364.0,7,85,1313.1,4,3,3,433,Recent Customers
12365.0,290,22,641.38,1,2,2,122,At Risk
12367.0,3,11,168.9,4,1,1,411,Recent Customers
12370.0,50,166,3541.94,3,4,4,344,Loyal Customers
12371.0,44,63,1887.96,3,3,4,334,Regular
12372.0,71,52,1298.04,2,3,3,233,Regular
12373.0,310,14,364.6,1,1,2,112,At Risk
12374.0,24,33,742.9300000000001,3,2,3,323,Regular
12375.0,10,17,457.5,4,1,2,412,Recent Customers
12377.0,314,77,1628.12,1,3,3,133,At Risk
12378.0,129,219,4008.62,2,4,4,244,Loyal Customers
12379.0,81,40,852.24,2,2,3,223,Regular
12380.0,21,104,2724.81,3,4,4,344,Loyal Customers
12381.0,4,87,1845.31,4,3,4,434,Recent Customers
12383.0,184,99,1850.56,1,4,4,144,Loyal Customers
12384.0,28,27,585.27,3,2,2,322,Regular
12386.0,337,10,401.9,1,1,2,112,At Risk
12388.0,15,100,2780.66,4,4,4,444,High Value
12390.0,79,32,549.84,2,2,2,222,Regular
12391.0,21,93,439.66,3,3,2,332,Regular
12393.0,71,64,1582.6000000000001,2,3,3,233,Regular
12394.0,63,27,1272.48,2,2,3,223,Regular
12395.0,18,156,3018.63,3,4,4,344,Loyal Customers
12397.0,35,126,2409.9,3,4,4,344,Loyal Customers
12398.0,45,85,1635.6599999999999,3,3,3,333,Regular
12399.0,118,59,1108.65,2,3,3,233,Regular
12401.0,302,5,84.3,1,1,1,111,At Risk
12402.0,322,11,225.6,1,1,1,111,At Risk
12403.0,49,5,427.7,3,1,2,312,Regular
12405.0,148,54,1710.39,1,3,4,134,At Risk
12406.0,21,105,3415.3,3,4,4,344,Loyal Customers
12407.0,49,77,1708.1200000000001,3,3,4,334,Regular
12408.0,32,105,2888.55,3,4,4,344,Loyal Customers
12409.0,78,109,11072.67,2,4,4,244,Loyal Customers
12410.0,308,26,693.3299999999999,1,2,3,123,At Risk
12412.0,74,61,1226.88,2,3,3,233,Regular
12413.0,66,38,758.1,2,2,3,223,Regular
12414.0,216,18,562.41,1,2,2,122,At Risk
12415.0,23,716,124914.53,3,4,4,344,Loyal Customers
12417.0,2,192,3649.1,4,4,4,444,High Value
12418.0,112,34,668.58,2,2,3,223,Regular
12420.0,63,29,600.39,2,2,2,222,Regular
12421.0,15,45,807.04,4,3,3,433,Recent Customers
12422.0,95,39,803.5600000000001,2,2,3,223,Regular
12423.0,0,125,1859.31,4,4,4,444,High Value
12424.0,162,30,1760.96,1,2,4,124,At Risk
12425.0,77,36,777.2,2,2,3,223,Regular
12426.0,194,30,582.73,1,2,2,122,At Risk
12427.0,21,31,825.8,3,2,3,323,Regular
12428.0,25,294,7956.46,3,4,4,344,Loyal Customers
12429.0,8,97,3750.4,4,3,4,434,Recent Customers
12430.0,42,11,256.4,3,1,1,311,Regular
12431.0,35,235,6419.95,3,4,4,344,Loyal Customers
12432.0,42,108,5059.32,3,4,4,344,Loyal Customers
12433.0,0,420,13375.87,4,4,4,444,High Value
12434.0,84,50,806.14,2,3,3,233,Regular
12435.0,79,36,7829.89,2,2,4,224,Regular
12436.0,99,16,509.01,2,1,2,212,Regular
12437.0,1,200,4951.41,4,4,4,444,High Value
12438.0,13,98,2906.85,4,3,4,434,Recent Customers
12441.0,366,11,173.55,1,1,1,111,At Risk
12442.0,2,12,172.06,4,1,1,411,Recent Customers
12444.0,20,177,5005.46,3,4,4,344,Loyal Customers
12445.0,21,4,133.4,3,1,1,311,Regular
12446.0,57,58,1002.3100000000001,2,3,3,233,Regular
12447.0,242,26,476.49,1,2,2,122,At Risk
12448.0,43,22,449.45,3,2,2,322,Regular
12449.0,21,191,4067.29,3,4,4,344,Loyal Customers
12450.0,155,8,197.88,1,1,1,111,At Risk
12451.0,10,354,9035.52,4,4,4,444,High Value
12452.0,16,22,430.57,4,2,2,422,Recent Customers
12453.0,133,43,707.09,2,3,3,233,Regular
12454.0,55,15,3528.34,2,1,4,214,Regular
12455.0,72,90,2466.86,2,3,4,234,Regular
12456.0,43,125,3181.04,3,4,4,344,Loyal Customers
12457.0,65,63,2363.23,2,3,4,234,Regular
12458.0,70,38,947.4,2,2,3,223,Regular
12461.0,93,35,826.88,2,2,3,223,Regular
12462.0,18,62,1189.59,3,3,3,333,Regular
12463.0,52,83,1344.78,2,3,3,233,Regular
12464.0,9,29,1212.05,4,2,3,423,Recent Customers
12465.0,16,47,742.1899999999999,4,3,3,433,Recent Customers
12468.0,187,38,729.5400000000001,1,2,3,123,At Risk
12471.0,1,459,19788.65,4,4,4,444,High Value
12472.0,31,339,6572.11,3,4,4,344,Loyal Customers
12473.0,28,167,3928.0499999999997,3,4,4,344,Loyal Customers
12474.0,16,422,7324.09,4,4,4,444,High Value
12475.0,53,36,723.38,2,2,3,223,Regular
12476.0,15,233,6816.42,4,4,4,444,High Value
12477.0,22,300,13219.74,3,4,4,344,Loyal Customers
12478.0,3,36,680.99,4,2,3,423,Recent Customers
12479.0,10,31,527.2,4,2,2,422,Recent Customers
12480.0,27,154,3281.63,3,4,4,344,Loyal Customers
12481.0,22,216,5579.82,3,4,4,344,Loyal Customers
12483.0,16,75,2484.98,4,3,4,434,Recent Customers
12484.0,32,343,4527.32,3,4,4,344,Loyal Customers
12488.0,9,55,1298.66,4,3,3,433,Recent Customers
12489.0,335,15,334.93,1,1,2,112,At Risk
12490.0,4,245,5417.93,4,4,4,444,High Value
12491.0,38,26,460.40000000000003,3,2,2,322,Regular
12492.0,62,20,263.21000000000004,2,2,1,221,Regular
12493.0,165,22,433.74,1,2,2,122,At Risk
12494.0,15,77,1246.1000000000001,4,3,3,433,Recent Customers
12497.0,81,14,1043.1,2,1,3,213,Regular
12498.0,20,23,403.70000000000005,3,2,2,322,Regular
12500.0,22,61,4257.82,3,3,4,334,Regular
