InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,month,year
556473,22429,ENAMEL MEASURING JUG CREAM,1,2011-06-12 12:00:00,4.25,17265.0,United Kingdom,4.25,6,2011
580290,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2011-12-02 13:35:00,2.95,17221.0,United Kingdom,2.95,12,2011
567698,23433,HANGING QUILTED PATCHWORK APPLES,12,2011-09-22 09:15:00,0.83,13529.0,United Kingdom,9.959999999999999,9,2011
547909,22403,MAGNETS PACK OF 4 VINTAGE LABELS ,1,2011-03-28 12:22:00,1.25,15033.0,United Kingdom,1.25,3,2011
563910,23173,REGENCY TEAPOT ROSES ,24,2011-08-21 12:37:00,8.15,17428.0,United Kingdom,195.60000000000002,8,2011
566400,22795,SWEETHEART RECIPE BOOK STAND,2,2011-09-12 13:16:00,6.75,17139.0,United Kingdom,13.5,9,2011
567476,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-09-20 13:19:00,3.95,14859.0,United Kingdom,15.8,9,2011
554906,23174,REGENCY SUGAR BOWL GREEN,4,2011-05-27 11:41:00,4.15,14194.0,United Kingdom,16.6,5,2011
540512,21581,SKULLS  DESIGN  COTTON TOTE BAG,1,2011-01-09 11:39:00,2.25,17114.0,United Kingdom,2.25,1,2011
579843,23461,SWEETHEART BIRD HOUSE,4,2011-11-30 16:21:00,4.15,12921.0,United Kingdom,16.6,11,2011
545515,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,2011-03-03 12:06:00,4.95,12727.0,France,29.700000000000003,3,2011
540501,85035C,ROSE 3 WICK MORRIS BOX CANDLE,12,2011-01-09 10:43:00,1.25,13162.0,United Kingdom,15.0,1,2011
570268,23493,VINTAGE DOILY TRAVEL SEWING KIT,30,2011-10-10 10:16:00,1.95,13098.0,United Kingdom,58.5,10,2011
574511,22470,HEART OF WICKER LARGE,6,2011-11-04 13:26:00,2.95,15597.0,United Kingdom,17.700000000000003,11,2011
575730,21621,VINTAGE UNION JACK BUNTING,2,2011-11-10 19:53:00,8.5,14765.0,United Kingdom,17.0,11,2011
568301,23355,HOT WATER BOTTLE KEEP CALM,2,2011-09-26 12:45:00,4.95,16383.0,United Kingdom,9.9,9,2011
578781,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2011-11-25 11:54:00,9.95,15872.0,United Kingdom,19.9,11,2011
558389,21794,CLASSIC FRENCH STYLE BASKET NATURAL,8,2011-06-29 10:18:00,3.95,14383.0,United Kingdom,31.6,6,2011
537219,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2010-12-05 15:47:00,3.75,14081.0,United Kingdom,7.5,12,2010
560937,20694,FLORAL PINK MONSTER,1,2011-07-22 10:52:00,3.75,17920.0,United Kingdom,3.75,7,2011
545338,22767,TRIPLE PHOTO FRAME CORNICE ,1,2011-03-01 17:32:00,9.95,17449.0,United Kingdom,9.95,3,2011
576651,22385,JUMBO BAG SPACEBOY DESIGN,10,2011-11-16 10:37:00,2.08,14626.0,United Kingdom,20.8,11,2011
559513,71053,WHITE METAL LANTERN,1,2011-07-08 15:56:00,3.75,14534.0,United Kingdom,3.75,7,2011
579497,21820,GLITTER HEART GARLAND WITH BELLS ,2,2011-11-29 15:39:00,3.75,14349.0,United Kingdom,7.5,11,2011
547799,20719,WOODLAND CHARLOTTE BAG,30,2011-03-25 12:48:00,0.85,17139.0,United Kingdom,25.5,3,2011
548983,22699,ROSES REGENCY TEACUP AND SAUCER ,1,2011-04-05 12:30:00,2.95,16906.0,United Kingdom,2.95,4,2011
567875,22908,PACK OF 20 NAPKINS RED APPLES,3,2011-09-22 14:29:00,0.85,16348.0,United Kingdom,2.55,9,2011
543022,21876,POTTERING MUG,1,2011-02-02 14:37:00,1.25,16771.0,United Kingdom,1.25,2,2011
576573,22208,WOOD STAMP SET THANK YOU,12,2011-11-15 13:52:00,0.83,16600.0,United Kingdom,9.959999999999999,11,2011
552452,22090,PAPER BUNTING RETROSPOT,3,2011-05-09 14:02:00,2.95,13752.0,United Kingdom,8.850000000000001,5,2011
580005,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-12-01 11:38:00,4.95,16376.0,United Kingdom,4.95,12,2011
545321,48194,DOORMAT HEARTS,2,2011-03-01 14:53:00,7.95,12747.0,United Kingdom,15.9,3,2011
567312,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,4,2011-09-19 13:47:00,4.15,15500.0,United Kingdom,16.6,9,2011
580054,21481,FAWN BLUE HOT WATER BOTTLE,2,2011-12-01 13:08:00,3.75,18122.0,United Kingdom,7.5,12,2011
543162,84987,SET OF 36 TEATIME PAPER DOILIES,6,2011-02-03 18:08:00,1.45,17507.0,United Kingdom,8.7,2,2011
574834,22365,DOORMAT RESPECTABLE HOUSE,2,2011-11-07 11:30:00,8.25,13139.0,United Kingdom,16.5,11,2011
554832,22620,4 TRADITIONAL SPINNING TOPS,12,2011-05-26 15:30:00,1.45,16092.0,United Kingdom,17.4,5,2011
573872,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,2011-11-01 12:35:00,1.25,17243.0,United Kingdom,15.0,11,2011
551727,22555,PLASTERS IN TIN STRONGMAN,12,2011-05-04 08:40:00,1.65,14245.0,United Kingdom,19.799999999999997,5,2011
571863,23487,SWEET HEART CAKE CARRIER,2,2011-10-19 13:49:00,9.95,15468.0,United Kingdom,19.9,10,2011
576339,20764,ABSTRACT CIRCLES SKETCHBOOK ,1,2011-11-14 15:27:00,7.46,14096.0,United Kingdom,7.46,11,2011
540288,22283,6 EGG HOUSE PAINTED WOOD,2,2011-01-06 12:45:00,7.95,17634.0,United Kingdom,15.9,1,2011
581437,16168M,FUNKY MONKEY GIFT BAG MEDIUM,24,2011-12-08 16:22:00,0.42,14621.0,United Kingdom,10.08,12,2011
541484,22692,DOORMAT WELCOME TO OUR HOME,4,2011-01-18 12:46:00,7.95,16814.0,United Kingdom,31.8,1,2011
537137,84978,HANGING HEART JAR T-LIGHT HOLDER,6,2010-12-05 12:43:00,1.25,16327.0,United Kingdom,7.5,12,2010
555735,22430,ENAMEL WATERING CAN CREAM,8,2011-06-07 08:54:00,4.95,13327.0,United Kingdom,39.6,6,2011
575700,23100,SILVER BELLS TABLE DECORATION,12,2011-11-10 16:58:00,1.25,15111.0,United Kingdom,15.0,11,2011
564051,22112,CHOCOLATE HOT WATER BOTTLE,3,2011-08-22 13:32:00,4.95,14265.0,Unspecified,14.850000000000001,8,2011
543657,21621,VINTAGE UNION JACK BUNTING,2,2011-02-11 10:38:00,8.5,15133.0,United Kingdom,17.0,2,2011
552695,82582,AREA PATROLLED METAL SIGN,12,2011-05-10 15:31:00,2.1,16320.0,Unspecified,25.200000000000003,5,2011
580903,22069,BROWN  PIRATE TREASURE CHEST ,1,2011-12-06 12:56:00,0.39,14606.0,United Kingdom,0.39,12,2011
565287,22867,HAND WARMER BIRD DESIGN,12,2011-09-02 11:42:00,2.1,12483.0,Sweden,25.200000000000003,9,2011
562840,22093,MOTORING TISSUE BOX,1,2011-08-09 16:27:00,0.39,14527.0,United Kingdom,0.39,8,2011
557330,21497,FANCY FONTS BIRTHDAY WRAP,25,2011-06-20 10:20:00,0.42,14291.0,United Kingdom,10.5,6,2011
540469,22745,POPPY'S PLAYHOUSE BEDROOM ,3,2011-01-07 14:04:00,2.1,12484.0,Spain,6.300000000000001,1,2011
540073,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,2011-01-04 14:47:00,1.25,16814.0,United Kingdom,7.5,1,2011
570479,20973,12 PENCIL SMALL TUBE WOODLAND,4,2011-10-10 16:58:00,0.65,17589.0,United Kingdom,2.6,10,2011
570876,23397,FOOT STOOL HOME SWEET HOME ,1,2011-10-12 17:19:00,9.95,16085.0,United Kingdom,9.95,10,2011
570855,23508,MINI PLAYING CARDS DOLLY GIRL ,20,2011-10-12 14:56:00,0.42,17314.0,United Kingdom,8.4,10,2011
573665,22211,WOOD STAMP SET FLOWERS,6,2011-10-31 16:24:00,0.83,13982.0,United Kingdom,4.9799999999999995,10,2011
561818,22469,HEART OF WICKER SMALL,3,2011-07-29 15:51:00,1.65,16775.0,United Kingdom,4.949999999999999,7,2011
576069,22208,WOOD STAMP SET THANK YOU,4,2011-11-13 15:57:00,0.83,13603.0,United Kingdom,3.32,11,2011
545064,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,2011-02-27 14:29:00,4.25,13636.0,United Kingdom,17.0,2,2011
542780,85099B,JUMBO BAG RED RETROSPOT,10,2011-02-01 09:38:00,1.95,17675.0,United Kingdom,19.5,2,2011
557150,47566,PARTY BUNTING,1,2011-06-17 11:02:00,4.95,15555.0,United Kingdom,4.95,6,2011
554842,22515,CHILDS GARDEN SPADE PINK,6,2011-05-26 18:17:00,2.1,14740.0,United Kingdom,12.600000000000001,5,2011
573345,85034A,3 GARDENIA MORRIS BOXED CANDLES,1,2011-10-30 12:14:00,1.25,17609.0,United Kingdom,1.25,10,2011
571411,23112,PARISIENNE CURIO CABINET,2,2011-10-17 12:33:00,7.5,17858.0,United Kingdom,15.0,10,2011
577359,82582,AREA PATROLLED METAL SIGN,2,2011-11-18 16:07:00,2.1,14903.0,United Kingdom,4.2,11,2011
569968,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,3,2011-10-06 18:56:00,1.25,17921.0,United Kingdom,3.75,10,2011
542399,22705,WRAP GREEN PEARS ,25,2011-01-27 15:38:00,0.42,15549.0,United Kingdom,10.5,1,2011
580531,22223,CAKE PLATE LOVEBIRD PINK,3,2011-12-04 15:47:00,4.95,12569.0,Germany,14.850000000000001,12,2011
559318,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,1,2011-07-07 14:08:00,2.95,18013.0,United Kingdom,2.95,7,2011
575086,22735,RIBBON REEL SOCKS AND MITTENS,10,2011-11-08 13:52:00,1.65,16618.0,United Kingdom,16.5,11,2011
578270,22593,CHRISTMAS GINGHAM STAR,1,2011-11-23 13:39:00,1.63,14096.0,United Kingdom,1.63,11,2011
577532,72127,COLUMBIAN CANDLE ROUND ,3,2011-11-20 14:01:00,1.25,16666.0,United Kingdom,3.75,11,2011
539455,35971,ROSE FOLKART HEART DECORATIONS,6,2010-12-17 17:17:00,1.25,12748.0,United Kingdom,7.5,12,2010
578995,85227,SET OF 6 3D KIT CARDS FOR KIDS,8,2011-11-27 15:59:00,0.85,15861.0,United Kingdom,6.8,11,2011
565430,22941,CHRISTMAS LIGHTS 10 REINDEER,1,2011-09-04 13:07:00,8.5,14335.0,Germany,8.5,9,2011
550361,22727,ALARM CLOCK BAKELIKE RED ,4,2011-04-18 11:10:00,3.75,13082.0,United Kingdom,15.0,4,2011
555368,22854,CREAM SWEETHEART EGG HOLDER,4,2011-06-02 14:30:00,4.95,13437.0,United Kingdom,19.8,6,2011
538634,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,6,2010-12-13 13:28:00,0.85,14085.0,United Kingdom,5.1,12,2010
577748,22866,HAND WARMER SCOTTY DOG DESIGN,24,2011-11-21 14:24:00,2.1,15159.0,United Kingdom,50.400000000000006,11,2011
571212,21534,DAIRY MAID LARGE MILK JUG,1,2011-10-14 12:53:00,4.95,12856.0,United Kingdom,4.95,10,2011
568908,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-09-29 13:38:00,1.45,16653.0,United Kingdom,17.4,9,2011
540907,20711,JUMBO BAG TOYS ,10,2011-01-12 11:52:00,1.95,13488.0,United Kingdom,19.5,1,2011
538638,22537,MAGIC DRAWING SLATE DINOSAUR,2,2010-12-13 14:16:00,0.42,17231.0,United Kingdom,0.84,12,2010
551531,84692,BOX OF 24 COCKTAIL PARASOLS,6,2011-05-01 13:45:00,0.42,15376.0,United Kingdom,2.52,5,2011
561627,23245,SET OF 3 REGENCY CAKE TINS,4,2011-07-28 14:08:00,4.95,12453.0,Austria,19.8,7,2011
575041,48138,DOORMAT UNION FLAG,1,2011-11-08 12:01:00,8.25,17289.0,United Kingdom,8.25,11,2011
560701,21506,"FANCY FONT BIRTHDAY CARD, ",12,2011-07-20 12:45:00,0.42,16729.0,United Kingdom,5.04,7,2011
562106,23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,1,2011-08-02 15:19:00,4.15,14076.0,United Kingdom,4.15,8,2011
559106,22429,ENAMEL MEASURING JUG CREAM,1,2011-07-06 11:10:00,4.25,15889.0,United Kingdom,4.25,7,2011
567368,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,2011-09-20 08:23:00,1.65,17147.0,United Kingdom,19.799999999999997,9,2011
566287,22450,SILK PURSE BABUSHKA BLUE,3,2011-09-11 15:11:00,3.35,17218.0,United Kingdom,10.05,9,2011
